feature_id,ACN2586_1,ACN2586_2,ACN2586_3,ACN2586_4,ACN2586_5,ACN2821_1,ACN2821_2,ACN2821_3,ACN2821_4,ACN2821_5,ACN3015_1,ACN3015_2,ACN3015_3,ACN3015_4,ACN3015_5,ACN3468_1,ACN3468_2,ACN3468_3,ACN3468_4,ACN3468_5,ACN3471_1,ACN3471_2,ACN3471_3,ACN3471_4,ACN3471_5,ACN3474_1,ACN3474_2,ACN3474_3,ACN3474_4,ACN3474_5,ACN3477_1,ACN3477_2,ACN3477_3,ACN3477_4,ACN3477_5,ADP1_1,ADP1_2,ADP1_3,ADP1_4,ADP1_5
DgoA,29.1086147828852,28.9605108495613,28.8122998253586,28.8387139529214,28.5580898654944,28.253463474226,28.6239178494083,28.0550587382075,28.5126860755617,28.2360745998046,20.1683235840684,20.2818691825244,19.07284478503,17.8597528209692,20.4601518134173,31.908854795957,32.1883470664991,32.1454274413114,32.2846581536568,32.3261785489541,20.1219236264223,21.3133602273014,20.610702240226,20.9443484084288,20.2542722946333,19.7183462416076,18.8416659929759,19.1857578658138,19.073303684818,18.3911192004839,18.7670970747362,22.0413929279428,21.5419285763826,19.8771752055505,21.0491248627665,19.2087709545199,19.6344445463898,19.2564290780616,19.8951669038665,21.3371981145179
DgoA_Ec,19.3166092660891,19.896452460031,19.7387065499046,20.040571864305,19.265177084828,19.9215898574807,20.3537539166459,20.1270179987136,20.838133625997,19.9733762308435,19.5660340614222,19.2350682805061,18.6337521213667,20.0141144703745,19.7069448668414,19.7778542212296,20.2887042725782,18.0770067704575,18.7785331991428,20.5541341314243,35.2578160434993,34.650874133049,35.0045102225425,35.0364835006903,35.0123286253969,35.7870499886044,35.7173444568062,35.6780625721026,35.7366598471739,35.8159322997497,34.1932093481897,33.8805576553812,34.0278819366747,34.2102025415639,34.3403750413594,19.3140931258786,20.2914345002511,19.5278138230217,21.1744368962447,19.9389649843819
Kan,26.5499988077378,26.1966889290193,26.6010788611883,26.4765996163433,26.6398810005331,26.4004068234139,26.3969162693452,26.504232353679,26.5768439482988,26.6056298730995,27.0775071967508,27.1291857267835,26.8950603934668,26.9303244012363,26.8041832382746,30.1008446416801,30.2267101283101,29.9479309960692,30.247530156544,29.9705228253692,32.0302209813324,31.4703060119034,31.6346835433807,32.1230608189592,31.9570277526318,33.0411884877545,33.1550773891774,32.6142171395416,33.1042223689988,32.8964680049206,30.7660438888026,30.9860308884564,30.985618690263,31.1949065404472,31.5532644987456,20.1465585476615,19.0297923843971,20.3853896752293,19.8683223479684,19.5999911350476
ACIAD_RS07445,21.4268021935407,21.2195577059817,21.4270477150075,21.2033942299604,21.4124974456164,20.9388376796359,20.8573480709484,21.5879587171093,21.2184387894113,21.5299129128876,20.9647698326299,20.8884776117134,21.204880428129,20.9668975424866,21.1674842682833,21.4338014004257,21.3983560623766,22.1731482652476,21.9627626878271,22.3048709791656,22.0734198150355,21.7747194707676,22.1381526892535,22.2249991342092,21.9510737927533,26.1490007282242,26.0836930968346,26.1255828606445,26.0368054622356,26.1767137657337,22.028358017863,21.9078413442911,21.8480550574474,22.0389398318767,22.107842694404,26.415057640386,26.2835350413233,26.3955618985128,26.4225690218846,26.3438960244509
ACIAD_RS17085,22.3735516530901,22.3821306765863,22.2549168588327,21.9733347532689,19.0061885351065,18.163602070953,19.7116021442607,19.5879160643308,21.641488115184,18.8692074885286,18.8487082029555,18.9934231182303,21.1967338965468,20.3854228077987,20.2620498422666,22.5319381365636,22.8764558490802,22.2382743813839,22.3861202444915,18.9915592364493,19.3875949044526,20.1202879327201,19.2063479692622,20.2508607763717,21.1517659341581,19.4778482816036,19.4417404565311,19.8553282858985,20.3406091577067,19.7191948968186,19.3543186704647,19.5657694602253,19.6831072514849,19.9377189676881,21.1188534266449,22.3720139536925,22.5604239857102,22.9670601274965,22.2074491397078,22.9067348234068
ACIAD_RS02280,29.5589022631781,29.4010760063587,29.4732391908458,29.60375049952,29.3350310422028,29.2800615394339,29.3059287146208,29.0476035259755,29.3344961391767,29.2352063733813,28.7626677726706,28.9740140250989,28.8004719913811,29.0297237103914,28.9087368181373,29.2738122664223,29.4663645606846,29.0330555548476,29.3516271247225,29.0575692330642,29.7125095347076,29.6073757750493,29.6063094269445,29.4097932468752,29.4074743443675,29.3713978518368,29.3301238321691,29.3189928535671,29.1505395021938,29.1605922728688,29.0374849764317,28.8724044981086,28.8747542024553,28.9847533259572,29.059201451578,29.2598346265806,29.2287935700734,29.2587615555064,29.7293011543672,29.3926310399959
ACIAD_RS03325,30.9606469015441,30.9173120263487,30.8997690245135,30.8899731534557,30.9378476611097,31.1368514953546,30.9392624151732,31.1951151279716,31.0955038994726,31.100402568008,31.0286691336164,30.8734819575848,30.9060419133263,31.0275999659969,30.9150182590423,31.0203089623731,30.9767035293391,31.04788947525,30.9734911172472,31.0511641466978,30.530549575555,30.6459374811879,30.5835586272774,30.6392753193868,30.6563742469994,30.827305201684,30.9916268846172,30.8475513806385,30.9740460194362,30.8048728999341,30.6569756961926,30.8900494689274,30.8784458157765,30.7758561257186,30.6559921533032,31.158408527025,31.0852130451959,31.0317304014177,30.9676430844469,30.9726499431463
ACIAD_RS13770,30.668009155521,30.5296261975148,30.6943170009768,30.6544446170562,30.5966112072121,30.6189646512278,30.6562413475944,30.4772403149152,30.5536940780096,30.5081528383488,30.4780979276177,30.6252150259531,30.5392515012522,30.6709844349191,30.5616034748558,30.5628697943325,30.4474037559969,30.508029944731,30.5322056868354,30.5318315793941,30.8214565432236,30.6695289224122,30.8622314964142,30.7425488303495,30.649743783252,30.6147392191584,30.5509189954154,30.5396430893657,30.5403191281726,30.6148101008151,30.4809465008647,30.4404770283061,30.4644744254851,30.3747007324084,30.4305693361875,30.6121524991993,30.5987453686469,30.5908984355023,30.5639264020611,30.5860069050262
ACIAD_RS00840,28.6614660287765,28.9092108943616,28.3953970707969,28.076378932086,28.7525747371201,28.2712401193828,28.476102616501,28.6220280249867,28.3716087404145,28.4283800702163,27.9058571116558,27.9556181399602,28.1720049469535,27.7231993682365,27.8723150936041,28.3357242351698,28.0991847176587,28.2271155180313,28.1641968165855,28.0886702047297,27.856636601331,27.8544474539561,27.6573927381436,27.9886271933178,28.6216801056599,28.2409392755602,28.3199948941107,27.7867294170348,27.9137325921352,27.9275251196199,28.4643026570943,28.2608264221431,28.4922356197118,28.2045630435918,28.2783597353271,29.1244020356193,28.8917118408415,28.9489623060992,28.7043117669568,28.7942158703715
ACIAD_RS16655,28.9927478355846,28.6455988061934,28.8807111192823,28.9214380499815,28.7414459240114,28.7494216426878,28.9205669864682,28.6815022390761,28.7523857814407,28.790879771126,28.3538624318153,28.6296241271758,28.3873759698887,28.4348005440007,28.6712562678825,28.7665874707946,28.6342240376255,28.5621834264933,28.659227366762,28.5313529251949,28.8950548640684,28.9168432457221,28.6465471312586,28.9116643614991,28.8595500260076,28.7879047553691,28.9069141580133,28.6996706084428,28.6420347232728,28.7662995404276,28.7270991368663,28.4538486856101,28.451103190052,28.4229259888166,28.545751385932,28.7571008864551,28.8339408538157,28.8143312917209,28.8052183610197,28.6847327076064
