reaction,gene,flux
rxn02213_c0,ACIAD_RS08015,0.06754469846933348
rxn00615_c0,ACIAD_RS04290,0.005196971618325037
rxn05341_c0,ACIAD_RS04020,-0.07518302368467121
rxn05341_c0,ACIAD_RS02655,-0.07518302368467121
rxn01265_c0,ACIAD_RS16115,-0.0003352503271466297
rxn01265_c0,ACIAD_RS04440,-0.0003352503271466297
rxn00834_c0,ACIAD_RS15840,0.026801218363144592
rxn08130_c0,ACIAD_RS09715,0.00033525032714662846
rxn05313_c0,ACIAD_RS13820,0.1384904082475612
rxn05117_c0,ACIAD_RS04590,0.0006705006542932581
rxn00785_c0,ACIAD_RS09365,0.08886671833964818
rxn00693_c0,ACIAD_RS04820,0.08131307391236497
rxn03909_c0,ACIAD_RS14730,0.08265246012956755
rxn01101_c0,ACIAD_RS14845,0.2707207808828642
rxn01101_c0,ACIAD_RS14940,0.2707207808828642
rxn01101_c0,ACIAD_RS05980,0.2707207808828642
rxn03084_c0,ACIAD_RS11875,0.05348486655393536
rxn03439_c0,ACIAD_RS15740,0.006721450147614165
rxn00346_c0,ACIAD_RS13145,0.000670500654293467
rxn00806_c0,ACIAD_RS02725,-0.07591418318944178
rxn05328_c0,ACIAD_RS14075,-0.041575772946600364
rxn05323_c0,ACIAD_RS14075,-0.04157577294660037
rxn05616_c0,ACIAD_RS01870,-0.0003352503271466298
rxn05616_c0,ACIAD_RS12780,-0.0003352503271466298
rxn05616_c0,ACIAD_RS01925,-0.0003352503271466298
rxn05616_c0,ACIAD_RS14690,-0.0003352503271466298
rxn01790_c0,ACIAD_RS14005,-0.000670500654293467
rxn05651_c0,ACIAD_RS05715,0.0963767860115466
rxn00077_c0,ACIAD_RS10220,0.00033525032714663003
rxn01388_c0,ACIAD_RS10950,-2.2834378698428806
rxn01388_c0,ACIAD_RS13975,-2.2834378698428806
rxn03638_c0,ACIAD_RS16175,0.026885800590456546
rxn02056_c0,ACIAD_RS13245,-0.0003352503271466298
rxn00851_c0,ACIAD_RS15895,0.006721450147614109
rxn05233_c0,ACIAD_RS13725,0.0009817838585530572
rxn05233_c0,ACIAD_RS03315,0.0009817838585530572
rxn05233_c0,ACIAD_RS03320,0.0009817838585530572
rxn00141_c0,ACIAD_RS10445,0.0020115019628797774
rxn01200_c0,ACIAD_RS09365,0.02098676954316808
rxn01241_c0,ACIAD_RS12975,0.06980905137772785
rxn01241_c0,ACIAD_RS14215,0.06980905137772785
rxn01241_c0,ACIAD_RS04700,0.06980905137772785
rxn05332_c0,ACIAD_RS06370,0.041575772946600364
rxn00438_c0,ACIAD_RS16165,0.00033525032714662987
rxn00288_c0,ACIAD_RS12990,2.129549457888523
rxn00288_c0,ACIAD_RS13000,2.129549457888523
rxn00288_c0,ACIAD_RS13005,2.129549457888523
rxn00288_c0,ACIAD_RS12995,2.129549457888523
rxn02473_c0,ACIAD_RS15370,0.016029329309277147
rxn01434_c0,ACIAD_RS05300,0.04988903616482888
rxn00912_c0,ACIAD_RS13840,0.000670500654293467
rxn09069_c0,ACIAD_RS14100,-0.0003352503271466298
rxn00122_c0,ACIAD_RS00125,0.0003352503271466297
rxn06076_c0,ACIAD_RS03315,-0.001317034185699687
rxn06076_c0,ACIAD_RS03320,-0.001317034185699687
rxn05344_c0,ACIAD_RS04060,0.041575772946600364
rxn05344_c0,ACIAD_RS02645,0.041575772946600364
rxn05344_c0,ACIAD_RS02660,0.041575772946600364
rxn05344_c0,ACIAD_RS09640,0.041575772946600364
rxn05344_c0,ACIAD_RS02575,0.041575772946600364
rxn03394_c0,ACIAD_RS05175,0.0003352503271466298
rxn00085_c0,ACIAD_RS15155,0.3505026481757576
rxn00085_c0,ACIAD_RS15150,0.3505026481757576
rxn00085_c0,ACIAD_RS11470,0.3505026481757576
rxn00085_c0,ACIAD_RS02110,0.3505026481757576
rxn00119_c0,ACIAD_RS06325,0.04943375361665893
rxn01466_c0,ACIAD_RS13405,0.0077272011290539944
rxn00974_c0,ACIAD_RS10950,2.2834378698428806
rxn00974_c0,ACIAD_RS13975,2.2834378698428806
rxn02008_c0,ACIAD_RS01275,0.00672145014761411
rxn03904_c0,ACIAD_RS15210,0.006721450147614109
rxn02288_c0,ACIAD_RS11305,0.0003352503271466298
rxn10199_c0,ACIAD_RS04890,0.006721450147614165
rxn10199_c0,ACIAD_RS10225,0.006721450147614165
rxn10199_c0,ACIAD_RS15200,0.006721450147614165
rxn00409_c0,ACIAD_RS02530,0.11489571205810307
rxn01258_c0,ACIAD_RS12575,0.0006705006542932586
rxn05295_c0,ACIAD_RS01460,0.04005439779996247
rxn05295_c0,ACIAD_RS01465,0.04005439779996247
rxn05295_c0,ACIAD_RS11735,0.04005439779996247
rxn05295_c0,ACIAD_RS13200,0.04005439779996247
rxn05295_c0,ACIAD_RS14470,0.04005439779996247
rxn05295_c0,ACIAD_RS14165,0.04005439779996247
rxn05295_c0,ACIAD_RS16650,0.04005439779996247
rxn05295_c0,ACIAD_RS01720,0.04005439779996247
rxn03901_c0,ACIAD_RS16570,0.006721450147614108
rxn03901_c0,ACIAD_RS07535,0.006721450147614108
rxn03901_c0,ACIAD_RS04220,0.006721450147614108
rxn03901_c0,ACIAD_RS03130,0.006721450147614108
rxn10052_c0,ACIAD_RS05075,0.0003352503271466297
rxn10052_c0,ACIAD_RS13490,0.0003352503271466297
rxn00193_c0,ACIAD_RS14765,0.006721450147614109
rxn05326_c0,ACIAD_RS14075,-0.0751830236846712
rxn05114_c0,ACIAD_RS16545,0.05314961622678872
rxn03164_c0,ACIAD_RS15215,0.006721450147614108
rxn00256_c0,ACIAD_RS13010,-2.2834378698428806
rxn00138_c0,ACIAD_RS13020,0.0006705006542932584
rxn06729_c0,ACIAD_RS06375,0.013442900295228329
rxn06729_c0,ACIAD_RS02585,0.013442900295228329
rxn06729_c0,ACIAD_RS02590,0.013442900295228329
rxn06729_c0,ACIAD_RS04025,0.013442900295228329
rxn00347_c0,ACIAD_RS08040,-1.688780274101006
rxn00504_c0,ACIAD_RS07555,-0.037281698505846846
rxn01485_c0,ACIAD_RS15835,-0.026885800590456546
rxn03031_c0,ACIAD_RS11820,0.0644450461433818
rxn00239_c0,ACIAD_RS15040,0.029147970653171002
rxn00441_c0,ACIAD_RS12985,0.06980905137772785
rxn02465_c0,ACIAD_RS06270,-0.05055953681912213
rxn03130_c0,ACIAD_RS08850,0.006721450147614165
rxn01791_c0,ACIAD_RS13835,0.000670500654293467
rxn00623_c0,ACIAD_RS13465,-0.04785314267862668
rxn02507_c0,ACIAD_RS11255,0.009545555656086394
rxn08043_c0,ACIAD_RS14015,0.04889845963448028
rxn08043_c0,ACIAD_RS14010,0.04889845963448028
rxn08131_c0,ACIAD_RS01305,0.0003352503271466299
